nohup: ignoring input
Device: cuda
[NIHChestXrayDataset] Loaded 65102 images across 6 classes
  Class 0 (No Finding): 48299 images
  Class 1 (Atelectasis): 3369 images
  Class 2 (Cardiomegaly): 856 images
  Class 3 (Effusion): 3129 images
  Class 4 (Infiltration): 7769 images
  Class 5 (Mass): 1680 images
[NIHChestXrayDataset] Loaded 16264 images across 6 classes
  Class 0 (No Finding): 12113 images
  Class 1 (Atelectasis): 843 images
  Class 2 (Cardiomegaly): 238 images
  Class 3 (Effusion): 830 images
  Class 4 (Infiltration): 1782 images
  Class 5 (Mass): 458 images
  Class weights: ['0.22', '3.22', '12.68', '3.47', '1.40', '6.46']
[NIHChestXrayDataset] Loaded 65102 images across 6 classes
  Class 0 (No Finding): 48299 images
  Class 1 (Atelectasis): 3369 images
  Class 2 (Cardiomegaly): 856 images
  Class 3 (Effusion): 3129 images
  Class 4 (Infiltration): 7769 images
  Class 5 (Mass): 1680 images

==================================================
Training densenet121...
==================================================
  [densenet121] Epoch 1/100  AUC=0.5925  Acc=0.0574  BestAUC=0.5925
  [densenet121] Epoch 2/100  AUC=0.6273  Acc=0.0904  BestAUC=0.6273
  [densenet121] Epoch 3/100  AUC=0.6520  Acc=0.1765  BestAUC=0.6520
  [densenet121] Epoch 4/100  AUC=0.6356  Acc=0.1287  BestAUC=0.6520
  [densenet121] Epoch 5/100  AUC=0.6591  Acc=0.4132  BestAUC=0.6591
  [densenet121] Epoch 6/100  AUC=0.7055  Acc=0.1971  BestAUC=0.7055
  [densenet121] Epoch 7/100  AUC=0.7078  Acc=0.2435  BestAUC=0.7078
  [densenet121] Epoch 8/100  AUC=0.7171  Acc=0.4058  BestAUC=0.7171
  [densenet121] Epoch 9/100  AUC=0.7165  Acc=0.3153  BestAUC=0.7171
  [densenet121] Epoch 10/100  AUC=0.7345  Acc=0.2807  BestAUC=0.7345
  [densenet121] Epoch 11/100  AUC=0.7391  Acc=0.2502  BestAUC=0.7391
  [densenet121] Epoch 12/100  AUC=0.7309  Acc=0.4003  BestAUC=0.7391
  [densenet121] Epoch 13/100  AUC=0.7454  Acc=0.2840  BestAUC=0.7454
  [densenet121] Epoch 14/100  AUC=0.7471  Acc=0.4014  BestAUC=0.7471
  [densenet121] Epoch 15/100  AUC=0.7480  Acc=0.4128  BestAUC=0.7480
  [densenet121] Epoch 16/100  AUC=0.7543  Acc=0.3658  BestAUC=0.7543
  [densenet121] Epoch 17/100  AUC=0.7428  Acc=0.2196  BestAUC=0.7543
  [densenet121] Epoch 18/100  AUC=0.7558  Acc=0.3374  BestAUC=0.7558
  [densenet121] Epoch 19/100  AUC=0.7595  Acc=0.3590  BestAUC=0.7595
  [densenet121] Epoch 20/100  AUC=0.7644  Acc=0.2780  BestAUC=0.7644
  [densenet121] Epoch 21/100  AUC=0.7456  Acc=0.2710  BestAUC=0.7644
  [densenet121] Epoch 22/100  AUC=0.7482  Acc=0.4049  BestAUC=0.7644
  [densenet121] Epoch 23/100  AUC=0.7644  Acc=0.3062  BestAUC=0.7644
  [densenet121] Epoch 24/100  AUC=0.7709  Acc=0.3813  BestAUC=0.7709
  [densenet121] Epoch 25/100  AUC=0.7474  Acc=0.3391  BestAUC=0.7709
  [densenet121] Epoch 26/100  AUC=0.7595  Acc=0.2451  BestAUC=0.7709
  [densenet121] Epoch 27/100  AUC=0.7643  Acc=0.4166  BestAUC=0.7709
  [densenet121] Epoch 28/100  AUC=0.7603  Acc=0.3795  BestAUC=0.7709
  [densenet121] Epoch 29/100  AUC=0.7508  Acc=0.2086  BestAUC=0.7709
  [densenet121] Epoch 30/100  AUC=0.7574  Acc=0.3118  BestAUC=0.7709
  [densenet121] Epoch 31/100  AUC=0.7530  Acc=0.2561  BestAUC=0.7709
  [densenet121] Epoch 32/100  AUC=0.7656  Acc=0.4288  BestAUC=0.7709
  [densenet121] Epoch 33/100  AUC=0.7662  Acc=0.3727  BestAUC=0.7709
  [densenet121] Epoch 34/100  AUC=0.7595  Acc=0.3394  BestAUC=0.7709
  [densenet121] Epoch 35/100  AUC=0.7586  Acc=0.3510  BestAUC=0.7709
  [densenet121] Epoch 36/100  AUC=0.7566  Acc=0.3046  BestAUC=0.7709
  [densenet121] Epoch 37/100  AUC=0.7442  Acc=0.3640  BestAUC=0.7709
  [densenet121] Epoch 38/100  AUC=0.7596  Acc=0.3867  BestAUC=0.7709
  [densenet121] Epoch 39/100  AUC=0.7551  Acc=0.3981  BestAUC=0.7709
  [densenet121] Epoch 40/100  AUC=0.7522  Acc=0.3157  BestAUC=0.7709
  [densenet121] Epoch 41/100  AUC=0.7581  Acc=0.3927  BestAUC=0.7709
  [densenet121] Epoch 42/100  AUC=0.7291  Acc=0.3493  BestAUC=0.7709
  [densenet121] Epoch 43/100  AUC=0.7447  Acc=0.3300  BestAUC=0.7709
  [densenet121] Epoch 44/100  AUC=0.7463  Acc=0.3804  BestAUC=0.7709
  [densenet121] Epoch 45/100  AUC=0.7430  Acc=0.3970  BestAUC=0.7709
  [densenet121] Epoch 46/100  AUC=0.7513  Acc=0.4369  BestAUC=0.7709
  [densenet121] Epoch 47/100  AUC=0.7441  Acc=0.3711  BestAUC=0.7709
  [densenet121] Epoch 48/100  AUC=0.7504  Acc=0.3742  BestAUC=0.7709
  [densenet121] Epoch 49/100  AUC=0.7453  Acc=0.3987  BestAUC=0.7709
  [densenet121] Epoch 50/100  AUC=0.7464  Acc=0.3911  BestAUC=0.7709
  [densenet121] Epoch 51/100  AUC=0.7518  Acc=0.3933  BestAUC=0.7709
  [densenet121] Epoch 52/100  AUC=0.7453  Acc=0.3326  BestAUC=0.7709
  [densenet121] Epoch 53/100  AUC=0.7427  Acc=0.3849  BestAUC=0.7709
  [densenet121] Epoch 54/100  AUC=0.7343  Acc=0.3257  BestAUC=0.7709
  [densenet121] Epoch 55/100  AUC=0.7412  Acc=0.4450  BestAUC=0.7709
  [densenet121] Epoch 56/100  AUC=0.7392  Acc=0.4543  BestAUC=0.7709
  [densenet121] Epoch 57/100  AUC=0.7363  Acc=0.4089  BestAUC=0.7709
  [densenet121] Epoch 58/100  AUC=0.7428  Acc=0.4125  BestAUC=0.7709
  [densenet121] Epoch 59/100  AUC=0.7480  Acc=0.4249  BestAUC=0.7709
  [densenet121] Epoch 60/100  AUC=0.7404  Acc=0.4814  BestAUC=0.7709
  [densenet121] Epoch 61/100  AUC=0.7477  Acc=0.4492  BestAUC=0.7709
  [densenet121] Epoch 62/100  AUC=0.7372  Acc=0.4250  BestAUC=0.7709
  [densenet121] Epoch 63/100  AUC=0.7385  Acc=0.4565  BestAUC=0.7709
  [densenet121] Epoch 64/100  AUC=0.7450  Acc=0.4955  BestAUC=0.7709
  [densenet121] Epoch 65/100  AUC=0.7393  Acc=0.4828  BestAUC=0.7709
  [densenet121] Epoch 66/100  AUC=0.7406  Acc=0.5689  BestAUC=0.7709
  [densenet121] Epoch 67/100  AUC=0.7238  Acc=0.4895  BestAUC=0.7709
  [densenet121] Epoch 68/100  AUC=0.7273  Acc=0.4856  BestAUC=0.7709
  [densenet121] Epoch 69/100  AUC=0.7324  Acc=0.5275  BestAUC=0.7709
  [densenet121] Epoch 70/100  AUC=0.7381  Acc=0.5932  BestAUC=0.7709
  [densenet121] Epoch 71/100  AUC=0.7243  Acc=0.4942  BestAUC=0.7709
  [densenet121] Epoch 72/100  AUC=0.7256  Acc=0.5529  BestAUC=0.7709
  [densenet121] Epoch 73/100  AUC=0.7277  Acc=0.6245  BestAUC=0.7709
  [densenet121] Epoch 74/100  AUC=0.7182  Acc=0.5405  BestAUC=0.7709
  [densenet121] Epoch 75/100  AUC=0.7154  Acc=0.5796  BestAUC=0.7709
  [densenet121] Epoch 76/100  AUC=0.7254  Acc=0.6527  BestAUC=0.7709
  [densenet121] Epoch 77/100  AUC=0.7249  Acc=0.6500  BestAUC=0.7709
  [densenet121] Epoch 78/100  AUC=0.7201  Acc=0.6154  BestAUC=0.7709
  [densenet121] Epoch 79/100  AUC=0.7230  Acc=0.6624  BestAUC=0.7709
  [densenet121] Epoch 80/100  AUC=0.7087  Acc=0.5737  BestAUC=0.7709
  [densenet121] Epoch 81/100  AUC=0.7078  Acc=0.6295  BestAUC=0.7709
  [densenet121] Epoch 82/100  AUC=0.7101  Acc=0.6504  BestAUC=0.7709
  [densenet121] Epoch 83/100  AUC=0.7153  Acc=0.6692  BestAUC=0.7709
  [densenet121] Epoch 84/100  AUC=0.7098  Acc=0.6575  BestAUC=0.7709
  [densenet121] Epoch 85/100  AUC=0.7052  Acc=0.6308  BestAUC=0.7709
  [densenet121] Epoch 86/100  AUC=0.7092  Acc=0.6695  BestAUC=0.7709
  [densenet121] Epoch 87/100  AUC=0.7095  Acc=0.6791  BestAUC=0.7709
  [densenet121] Epoch 88/100  AUC=0.7051  Acc=0.6800  BestAUC=0.7709
  [densenet121] Epoch 89/100  AUC=0.7085  Acc=0.6836  BestAUC=0.7709
  [densenet121] Epoch 90/100  AUC=0.7064  Acc=0.6784  BestAUC=0.7709
  [densenet121] Epoch 91/100  AUC=0.7046  Acc=0.6822  BestAUC=0.7709
  [densenet121] Epoch 92/100  AUC=0.7057  Acc=0.6844  BestAUC=0.7709
  [densenet121] Epoch 93/100  AUC=0.7064  Acc=0.6862  BestAUC=0.7709
  [densenet121] Epoch 94/100  AUC=0.7038  Acc=0.6893  BestAUC=0.7709
  [densenet121] Epoch 95/100  AUC=0.7039  Acc=0.6878  BestAUC=0.7709
  [densenet121] Epoch 96/100  AUC=0.7053  Acc=0.6937  BestAUC=0.7709
  [densenet121] Epoch 97/100  AUC=0.7048  Acc=0.6919  BestAUC=0.7709
  [densenet121] Epoch 98/100  AUC=0.7052  Acc=0.6915  BestAUC=0.7709
  [densenet121] Epoch 99/100  AUC=0.7030  Acc=0.6845  BestAUC=0.7709
  [densenet121] Epoch 100/100  AUC=0.7033  Acc=0.6841  BestAUC=0.7709
  >> densenet121 Best AUC: 0.7709 at epoch 23

==================================================
Training resnet50...
==================================================
  [resnet50] Epoch 1/100  AUC=0.5912  Acc=0.2429  BestAUC=0.5912
  [resnet50] Epoch 2/100  AUC=0.6102  Acc=0.0791  BestAUC=0.6102
  [resnet50] Epoch 3/100  AUC=0.6186  Acc=0.0805  BestAUC=0.6186
  [resnet50] Epoch 4/100  AUC=0.6288  Acc=0.2196  BestAUC=0.6288
  [resnet50] Epoch 5/100  AUC=0.6461  Acc=0.2769  BestAUC=0.6461
  [resnet50] Epoch 6/100  AUC=0.6551  Acc=0.0726  BestAUC=0.6551
  [resnet50] Epoch 7/100  AUC=0.6642  Acc=0.3175  BestAUC=0.6642
  [resnet50] Epoch 8/100  AUC=0.6770  Acc=0.3474  BestAUC=0.6770
  [resnet50] Epoch 9/100  AUC=0.6874  Acc=0.1102  BestAUC=0.6874
  [resnet50] Epoch 10/100  AUC=0.6233  Acc=0.1337  BestAUC=0.6874
  [resnet50] Epoch 11/100  AUC=0.7128  Acc=0.3213  BestAUC=0.7128
  [resnet50] Epoch 12/100  AUC=0.7150  Acc=0.1923  BestAUC=0.7150
  [resnet50] Epoch 13/100  AUC=0.7161  Acc=0.0967  BestAUC=0.7161
  [resnet50] Epoch 14/100  AUC=0.7283  Acc=0.3113  BestAUC=0.7283
  [resnet50] Epoch 15/100  AUC=0.7366  Acc=0.4286  BestAUC=0.7366
  [resnet50] Epoch 16/100  AUC=0.7353  Acc=0.4947  BestAUC=0.7366
  [resnet50] Epoch 17/100  AUC=0.7307  Acc=0.3435  BestAUC=0.7366
  [resnet50] Epoch 18/100  AUC=0.7313  Acc=0.2725  BestAUC=0.7366
  [resnet50] Epoch 19/100  AUC=0.7331  Acc=0.3853  BestAUC=0.7366
  [resnet50] Epoch 20/100  AUC=0.7415  Acc=0.2933  BestAUC=0.7415
  [resnet50] Epoch 21/100  AUC=0.7309  Acc=0.2855  BestAUC=0.7415
  [resnet50] Epoch 22/100  AUC=0.7437  Acc=0.4333  BestAUC=0.7437
  [resnet50] Epoch 23/100  AUC=0.7261  Acc=0.2858  BestAUC=0.7437
  [resnet50] Epoch 24/100  AUC=0.7421  Acc=0.2578  BestAUC=0.7437
  [resnet50] Epoch 25/100  AUC=0.7366  Acc=0.4080  BestAUC=0.7437
  [resnet50] Epoch 26/100  AUC=0.7332  Acc=0.2428  BestAUC=0.7437
  [resnet50] Epoch 27/100  AUC=0.7234  Acc=0.2327  BestAUC=0.7437
  [resnet50] Epoch 28/100  AUC=0.7465  Acc=0.4313  BestAUC=0.7465
  [resnet50] Epoch 29/100  AUC=0.7310  Acc=0.2654  BestAUC=0.7465
  [resnet50] Epoch 30/100  AUC=0.7504  Acc=0.3994  BestAUC=0.7504
  [resnet50] Epoch 31/100  AUC=0.7427  Acc=0.2421  BestAUC=0.7504
  [resnet50] Epoch 32/100  AUC=0.7362  Acc=0.2591  BestAUC=0.7504
  [resnet50] Epoch 33/100  AUC=0.7406  Acc=0.3826  BestAUC=0.7504
  [resnet50] Epoch 34/100  AUC=0.7388  Acc=0.3775  BestAUC=0.7504
  [resnet50] Epoch 35/100  AUC=0.7527  Acc=0.4996  BestAUC=0.7527
  [resnet50] Epoch 36/100  AUC=0.7352  Acc=0.2904  BestAUC=0.7527
  [resnet50] Epoch 37/100  AUC=0.7435  Acc=0.3478  BestAUC=0.7527
  [resnet50] Epoch 38/100  AUC=0.7319  Acc=0.3094  BestAUC=0.7527
  [resnet50] Epoch 39/100  AUC=0.7377  Acc=0.3538  BestAUC=0.7527
  [resnet50] Epoch 40/100  AUC=0.7401  Acc=0.3323  BestAUC=0.7527
  [resnet50] Epoch 41/100  AUC=0.7320  Acc=0.3436  BestAUC=0.7527
  [resnet50] Epoch 42/100  AUC=0.7312  Acc=0.4611  BestAUC=0.7527
  [resnet50] Epoch 43/100  AUC=0.7336  Acc=0.3454  BestAUC=0.7527
  [resnet50] Epoch 44/100  AUC=0.7342  Acc=0.2882  BestAUC=0.7527
  [resnet50] Epoch 45/100  AUC=0.7310  Acc=0.3913  BestAUC=0.7527
  [resnet50] Epoch 46/100  AUC=0.7308  Acc=0.3329  BestAUC=0.7527
